Tipo,Estado,Año,Incautadas
Arte Pesca,Hidalgo,2012,110
Arte Pesca,Hidalgo,2013,209
Arte Pesca,Jalisco,2009,2552
Arte Pesca,Jalisco,2010,2102
Arte Pesca,Jalisco,2011,3993
Arte Pesca,Jalisco,2012,1087
Arte Pesca,Jalisco,2013,3045
Arte Pesca,Michoacán,2009,99
Arte Pesca,Michoacán,2010,717
Arte Pesca,Michoacán,2011,2816
Arte Pesca,Michoacán,2012,730
Arte Pesca,Michoacán,2013,2051
Arte Pesca,Morelos,2009,33
Arte Pesca,Morelos,2010,119
Arte Pesca,Morelos,2011,6
Arte Pesca,Morelos,2012,4
Arte Pesca,Morelos,2013,11
Arte Pesca,Nayarit,2009,1873
Arte Pesca,Nayarit,2010,1724
Arte Pesca,Nayarit,2011,1603
Arte Pesca,Nayarit,2012,14
Arte Pesca,Nayarit,2013,1634
Arte Pesca,Nuevo León,2009,5
Arte Pesca,Nuevo León,2010,25
Arte Pesca,Nuevo León,2011,10
Arte Pesca,Nuevo León,2012,16
Arte Pesca,Nuevo León,2013,4
Arte Pesca,Oaxaca,2009,248
Arte Pesca,Oaxaca,2010,179
Arte Pesca,Oaxaca,2011,242
Arte Pesca,Oaxaca,2012,59
Arte Pesca,Oaxaca,2013,156
Arte Pesca,Puebla,2009,8
Arte Pesca,Puebla,2010,1
Arte Pesca,Puebla,2011,41
Arte Pesca,Puebla,2012,-0
Arte Pesca,Puebla,2013,-0
Arte Pesca,Querétaro,2009,348
Arte Pesca,Querétaro,2010,302
Arte Pesca,Querétaro,2011,83
Arte Pesca,Querétaro,2012,43
Arte Pesca,Querétaro,2013,18
Arte Pesca,Quintana Roo,2009,28
Arte Pesca,Quintana Roo,2010,20
Arte Pesca,Quintana Roo,2011,132
Arte Pesca,Quintana Roo,2012,79
Arte Pesca,Quintana Roo,2013,20
Arte Pesca,San Luis Potosí,2009,10
Arte Pesca,San Luis Potosí,2010,50
Arte Pesca,San Luis Potosí,2011,66
Arte Pesca,San Luis Potosí,2012,42
Arte Pesca,San Luis Potosí,2013,19
Arte Pesca,Sinaloa,2009,645
Arte Pesca,Sinaloa,2010,2206
Arte Pesca,Sinaloa,2011,646
Arte Pesca,Sinaloa,2012,1372
Arte Pesca,Sinaloa,2013,929
Arte Pesca,Sonora,2009,224
Arte Pesca,Sonora,2010,773
Arte Pesca,Sonora,2011,202
Arte Pesca,Sonora,2012,126
Arte Pesca,Sonora,2013,240
Arte Pesca,Tabasco,2009,44
Arte Pesca,Tabasco,2010,149
Arte Pesca,Tabasco,2011,23
Arte Pesca,Tabasco,2012,33
Arte Pesca,Tabasco,2013,191
Arte Pesca,Tamaulipas,2009,1556
Arte Pesca,Tamaulipas,2010,359
Arte Pesca,Tamaulipas,2011,379
Arte Pesca,Tamaulipas,2012,193
Arte Pesca,Tamaulipas,2013,362
Arte Pesca,Tlaxcala,2009,11
Arte Pesca,Tlaxcala,2010,1725
Arte Pesca,Tlaxcala,2011,-0
Arte Pesca,Tlaxcala,2012,2
Arte Pesca,Tlaxcala,2013,23
Arte Pesca,Veracruz,2009,2015
Arte Pesca,Veracruz,2010,1725
Arte Pesca,Veracruz,2011,1402
Arte Pesca,Veracruz,2012,1841
Arte Pesca,Veracruz,2013,1600
Arte Pesca,Yucatán,2009,355
Arte Pesca,Yucatán,2010,297
Arte Pesca,Yucatán,2011,207
Arte Pesca,Yucatán,2012,211
Arte Pesca,Yucatán,2013,196
Arte Pesca,Zacatecas,2009,4
Arte Pesca,Zacatecas,2010,14
Arte Pesca,Zacatecas,2011,17
Arte Pesca,Zacatecas,2012,16
Arte Pesca,Zacatecas,2013,47
